horizon,Model,Stacja,Zmienne,MAPE,BIAS
Forecast_-3D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.09876634773875595,-9.621757689486415
Forecast_-4D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.1112448015358966,-11.203298930978676
Forecast_-5D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.12070934131416296,-12.521047985392837
Forecast_-6D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.12768579893111198,-13.910924615414432
Forecast_-7D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.13192208432182653,-15.159177837049517
Forecast_-8D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.13430589332744908,-16.10814515723795
Forecast_-9D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.13997453090679296,-16.747977438899298
Forecast_-10D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.14368885376105842,-17.2494174537432
Forecast_-11D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.14669619300218945,-17.626543874760042
Forecast_-12D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.14882854164006634,-17.986349178271997
Forecast_-13D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.15244511149836815,-18.40062177661817
Forecast_-14D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.1562303770409491,-18.843702482392533
Forecast_-15D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.1585509920099828,-19.381212986817758
Forecast_-16D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.16054063855614167,-19.99426815429068
Forecast_-17D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.16509926475180567,-20.42859089654671
Forecast_-18D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.16831044800486442,-20.827014845577917
Forecast_-19D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.17028065616244575,-21.29759007017641
Forecast_-20D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.1705423284440362,-21.783794160174413
Forecast_-21D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.17092968471981015,-22.30651248235968
